Event Name,Event Time,Status,External Url
Mentimeter All-Hands - Live on LinkedIn,"Sep 13, 2023 01:00 PM - Sep 13, 2023 02:00 PM",APPROVED,
From Business to Buttons 2022,"May 13, 2022 07:00 AM - May 13, 2022 03:00 PM",APPROVED,https://frombusinesstobuttons.com/
Webinar: Kompetensutveckling - en av HR:s största utmaningar 2021,"Nov 10, 2021 10:30 AM - Nov 10, 2021 11:00 AM",APPROVED,https://get.learnifier.com/sv/event/alexishr/learnifier/
"Examen, utställning & mingel ","Jun 16, 2022 03:30 PM - Jun 16, 2022 05:30 PM",RELINQUISHED,https://forms.office.com/Pages/ResponsePage.aspx?id=7GSsHoHeikiZNitIJ5MmXIVCrLg4jO9LqjSEEgblAQVUNjhNVVNQWUtOOFhRSjZLT1JLS0VKNzlVRS4u
SaaSiest 2024,"Apr 16, 2024 06:00 AM - Apr 17, 2024 03:00 PM",APPROVED,https://saasiest2024.com
Chris: How To Use Your Background To Start A Business -Facilitators Connect,"Aug 10, 2023 04:30 PM - Aug 10, 2023 05:30 PM",APPROVED,https://us06web.zoom.us/meeting/register/tZMofuGhrDMtHtw9DZP9OOo1ukAYII8LplZh
Upskill & Reskill 2023 - Lär dig av de bästa - Gratis!,"Jan 25, 2023 08:00 AM - Jan 25, 2023 04:00 PM",APPROVED,https://share.lansera.io/f-teaser/upskill-reskill-2023/linkedIn?utm_code=57490
How To Create A Unique Portfolio AMA,"Mar 19, 2025 02:00 PM - Mar 19, 2025 03:00 PM",APPROVED,
Facilitators Connect Retreat,"Sep 11, 2023 01:00 PM - Sep 15, 2023 08:00 AM",APPROVED,
GLDC 2 year anniversary celebration,"May 06, 2022 04:00 PM - May 06, 2022 05:00 PM",APPROVED,https://us02web.zoom.us/j/89747001368?pwd=OE5NRU5aelVCZGtwRWhhVm1Ja2hydz09
Upskill & Reskill – Lär av de bästa - Gratis event för livslångt lärande,"Jan 25, 2024 08:00 AM - Jan 25, 2024 04:00 PM",APPROVED,https://share.virtualdays.com/f-teaser/upskill-reskill-2024/linkedin?utm_code=93260
Episode 139: Turning a product strategy into action w/ Roman Pichler,"Jan 31, 2023 07:27 AM - Jan 31, 2023 07:57 AM",APPROVED,https://content.productbeats.com/show-registration/
Unlock the Power of VR and AR to Create Engaging Learning Experiences,"Jun 10, 2021 07:00 AM - Jun 10, 2021 08:15 AM",APPROVED,https://vobling.com/webinar-xr-for-learning-experiences/
Webinar: Lär dig UX Research med kvantmetoder,"Sep 08, 2021 10:00 AM - Sep 08, 2021 11:00 AM",APPROVED,https://signific.se/events/webinar-lar-dig-ux-research-med-kvantmetoder/
Den nya tidens ledarskapsutveckling - Att skapa utbildningar som engagerar ,"Jun 29, 2021 07:00 AM - Jun 29, 2021 07:45 AM",APPROVED,https://get.learnifier.com/sv/event/greatleaderslearnifierwebinar/
Facilitators Connect Goes France,"Aug 28, 2024 02:00 PM - Sep 01, 2024 09:00 AM",APPROVED,https://www.facilitatorsconnect.com
ProductBeats Show - Product Gravity,"Jun 15, 2021 06:27 AM - Jun 15, 2021 06:57 AM",RELINQUISHED,https://zoom.us/j/361674887
Workshop: Rethink training - Hur skapar vi en kultur av lärande?,"May 25, 2022 07:00 AM - May 25, 2022 09:00 AM",APPROVED,https://get.learnifier.com/sv/workshop/knowly/learnifier/25maj/
What is brand authenticity  in storytelling?,"Mar 31, 2022 10:00 AM - Mar 31, 2022 11:00 AM",APPROVED,https://www.linkedin.com/video/event/urn:li:ugcPost:6914863243932889090/
"Webinar: Förändring genom innovation, hållbarhet och co-creation","Jun 10, 2021 09:00 AM - Jun 10, 2021 09:45 AM",APPROVED,https://us02web.zoom.us/webinar/register/WN_f1SBimKXQXOKbAHNhsyOXw
How to Thrive During Uncertain Times,"Dec 15, 2023 06:30 PM - Dec 15, 2023 08:00 PM",APPROVED,
AI i praktiken: Så bygger du starka team i AI-tider,"May 19, 2026 10:15 AM - May 19, 2026 11:00 AM",APPROVED,
How to Find Meaning in Your Work,"Apr 01, 2026 03:00 PM - Apr 01, 2026 03:45 PM",APPROVED,
Mindact möter Wisepoint - Vad är en AI-policy och vad bör den innehålla?,"Sep 24, 2024 10:30 AM - Sep 24, 2024 10:45 AM",APPROVED,https://riverside.fm/studio/mindact-open-air
Get more Customers: from Outreach to Outcomes - Part 8,"Jun 20, 2024 07:30 PM - Jun 20, 2024 09:00 PM",APPROVED,
Eastern and Australia - GLDC Meetup 5th Feb,"Feb 05, 2021 08:00 AM - Feb 05, 2021 09:00 AM",APPROVED,
Learnifier LIVE: Online Customer Event 18 May,"May 18, 2022 07:00 AM - May 18, 2022 07:45 AM",APPROVED,https://get.learnifier.com/eng/event/learnifierlive18may/
Accelererad tillväxt genom onboarding och säljträning: Så gör Salesonomics,"Feb 24, 2022 08:00 AM - Feb 24, 2022 08:45 AM",APPROVED,https://bit.ly/3sUVIgI
Re-run: How to work with GROWTH as a B2C App,"Apr 15, 2021 10:00 AM - Apr 15, 2021 11:00 AM",APPROVED,
