Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Get stories done in scrum,"When your scrum team completes work on a story, the product owner decides whether it's done. In this video, learn how to be sure everyone knows what ""done"" really means.",Video (3rd Party Provider),2026-05-05 20:55 UTC,N/A,false,N/A,
Introducing Daily,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeVideo:60347605,Video (3rd Party Provider),2024-09-02 16:09 UTC,N/A,false,N/A,
How to install DB Browser for SQLite on your computer,CONTENT DESCRIPTION IS MISSING - urn:li:llsServeArticle:70752279,Article (3rd Party Provider),2026-05-05 21:04 UTC,2026-05-05 21:04 UTC,false,N/A,
InDesign: Typography,"<i>InDesign Typography</i> explores the numerous type options, type-related features, and type-specific preferences of Adobe InDesign, one of the world’s most popular and widely used design tools. Equipped with practical, applicable examples, instructor and designer Nigel French explains the purpose of each feature and demonstrates the conventions for how and when to use it. Discover the fundamentals of type, character formats, paragraph formats, text frame options, composition, styles, and tables. By the end of this course, you’ll also be prepared to customize text formats, manage paragraph and character styles, control text flow, and much more.",Course,2025-11-05 08:35 UTC,N/A,false,N/A,
The Five-Step Creative Process,"The creative process isn't just generating ideas. The reality is it's a five-step process, and ideation is only one of those steps. The entire creative process is made up of objective finding, data gathering, problem design, ideation, and selection. Understanding the role of each step enables us to ensure that we generate the most effective solutions. In this course, Stefan Mumaw guides you through the five steps and then shows what the complete process looks like, with a real-world project: designing a website.",Course,2023-07-31 13:26 UTC,2023-07-31 13:20 UTC,false,N/A,
Finance and Accounting Tips (2018),"Are you curious about the financial details of big companies like Walmart and Boeing, but shy away from further investigation because you don't consider yourself a numbers person? In this series, accounting professors Jim and Kay Stice—who have been exploring financial information for a combined 60 years—break down essential accounting and finance concepts into manageable, bite-sized chunks. They help you understand the balance sheet, debits and credits, company operating cycles, and more. In addition, they explain where to find accounting information in the real world, and what to do with it once you have it.",Course,2020-05-08 07:46 UTC,N/A,false,N/A,
"Agentic AI Fundamentals: Architectures, Frameworks, and Applications","Looking to dive into the world of agentic AI? The course covers the essential concepts, architectures, and frameworks that form the foundation of autonomous agents. Explore decision-making processes, machine learning techniques, and multi-agent systems and gain practical knowledge to develop and deploy agentic AI solutions. Instructor David Linthicum also addresses the ethical and societal implications of agentic AI, as well as security and robustness considerations. Check out this course to get equipped with the skills and understanding needed to leverage agentic AI in various industries and applications.",Course,2026-02-11 06:15 UTC,N/A,true,N/A,
Technical SEO,"<p>Even if the only thing you know about SEO is what the letters S, E, and O stand for, you probably know that good content on your website only goes so far when it comes to improving visibility. In order to maximize ROI and increase leads to your business, you need technical search engine optimization. In this course, SEO expert Dana DiTomaso shows how to optimize your website for SEO by looking at how crawlers work, developing strategies for increasing site speed and discoverability, using schema, architecture, URLs, and image/video to your SEO advantage. Along the way, learn how to leverage analytics data and search results assessments to drive ongoing SEO decisions and platform iterations. In addition to the actual nuts and bolts of SEO, Dana also covers the importance of making concrete recommendations to IT teams and web developers, so you can actually get the fixes implemented that you need. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/digital-marketing-professional-certificate-by-content-marketing-institute"" target=""_blank"">Professional Certificate</a> from Content Marketing Institute.</p>",Course,2024-09-08 08:46 UTC,N/A,false,N/A,
Learning Data Analytics Part 2: Extending and Applying Core Knowledge,"<p>It’s one thing to work with data. It’s another to provide quality data sets and accurate visualizations for decisions to be made. If you are considering a course emphasis or a career in data analytics, this course can help you get off to a good start. Robin Hunt, CEO and co-founder of ThinkData Solutions, shares practical skills to help you get the most from your data and jumpstart your career in data. Robin discusses business rules, filtering out the noise in the data we all deal with, and how to deliver what decision-makers want. She covers how to create data sets with queries, joins, and appends, then goes into building aggregate data with total queries. Robin goes over pivots, how to use pivots to build basic dashboards and visualizations, and how to use Power Query for data transformations. She concludes with best practices for meetings and taking your work to the next level for your organization. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-data-analysis-by-microsoft-and-linkedin"">Professional Certificate</a> from Microsoft.</p>",Course,2024-09-01 09:34 UTC,N/A,false,N/A,
UX for AI: Design Practices for AI Developers,"<p>AI developers are tasked with addressing a wide variety of complex challenges. They’re customer facing, too, which means their UX design interfaces need to be both ethical <em>and</em> effective. In this course, award-winning designer and engineer John Maeda shows you how to navigate UX design for AI applications using a thoughtful balance of design practices that leverage the power of AI models while also addressing user needs and expectations.</p><p>From designing for trust to testing and iterating, error handling, recovery, and ethics, John helps you get up to speed with new approaches to collaborative UX with tools and frameworks like the Microsoft Copilot stack, Semantic Kernel, and more. Learn how to define clear goals to guide UX design decisions and help prioritize features and functionalities. Along the way, get tips for maintaining transparency so users can interact with AI-powered apps that don't feel like a black box.</p>",Course,N/A,N/A,true,N/A,
