Login Date,IP Address,User Agent,Login Type
Tue May 21 19:48:24 UTC 2024,2a02:aa1:1648:759a:8151:2e3f:35dc:c30f,LIAuthLibrary:44.0.* com.linkedin.LinkedIn:9.29.6896 iPhone:17.4.1,Login
Fri Jun 14 17:13:47 UTC 2024,151.177.61.198,LIAuthLibrary:44.0.* com.linkedin.LinkedIn:9.29.7936 iPhone:17.5.1,Login
Sun Jul 21 07:46:46 UTC 2024,151.177.52.58,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/15E148 Safari/604.1",Login
Mon Jul 22 13:41:25 UTC 2024,151.177.52.58,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Safari/537.36",Login
Mon Jul 29 11:36:23 UTC 2024,2a02:aa1:1645:1f57:69d3:f404:c2f4:92cc,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/15E148 Safari/604.1",Login
Mon Aug 12 16:51:00 UTC 2024,2a02:aa1:114a:dabc:4c29:9bfa:7192:c453,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/15E148 Safari/604.1",Login
Wed Aug 21 10:57:21 UTC 2024,188.149.229.237,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/15E148 Safari/604.1",Login
Fri Sep 13 10:44:23 UTC 2024,188.149.229.237,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Mobile/15E148 Safari/604.1",Login
Sun Sep 22 07:17:47 UTC 2024,188.149.229.237,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.7 Mobile/15E148 Safari/604.1",Login
Mon Sep 23 11:00:18 UTC 2024,188.149.229.237,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Login
Wed Sep 25 08:23:09 UTC 2024,188.149.229.237,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.7 Mobile/15E148 Safari/604.1",Login
Thu Sep 26 20:34:28 UTC 2024,188.149.229.237,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Login
Thu Sep 26 20:34:33 UTC 2024,188.149.229.237,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Login
Mon Sep 30 08:31:19 UTC 2024,188.149.229.237,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Mobile/15E148 Safari/604.1",Login
Mon Sep 30 08:31:29 UTC 2024,188.149.229.237,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Mobile/15E148 Safari/604.1",Login
Mon Sep 30 10:08:08 UTC 2024,188.149.229.237,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Login
Mon Sep 30 18:55:52 UTC 2024,188.149.229.237,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Login
Mon Oct 14 09:18:59 UTC 2024,188.149.229.237,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36",Login
Sun Oct 20 15:51:32 UTC 2024,188.149.229.237,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",Login
Tue Oct 29 14:03:01 UTC 2024,188.149.229.237,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0.1 Mobile/15E148 Safari/604.1",Login
Fri Nov 15 09:39:03 UTC 2024,188.149.229.237,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",Login
