Company Name,Title,Description,Location,Started On,Finished On
EdAider,Head of Design,"Taking ownership for the design area, making design a strategic part of the business. Fostering creative culture in the product team and the company, focusing on collaboration and fun across the all roles and disciplines. Managing a small design team.","Stockholm County, Sweden",Jun 2023,Nov 2024
Qvik,Lead Product Designer,Coming soon. I have to figure it out first.,Stockholm,Mar 2023,Jun 2023
Osynlig,Senior Designer,,,Sep 2022,Mar 2023
Learnifier,Product Designer,"Learnifier är en flexibel plattform för skapande av egna utbildningar. Som produktdesigner ansvarar jag  för prototypa och testa ny funktionalitet, producera all design och framför allt att ständigt förbättra och optimera kundupplevelsen av plattformen. Workshops, kundintervjuer och Sketch är mina viktigaste verktyg. ","Stockholm, Sweden",Feb 2020,Sep 2022
Nackademin,Teacher in UX and Design Thinking,This fall (2020) I'm teaching 40 happy and digitally distanced students the secrets of UX and Design Thinking. I'm doing this together with my friend and teacher colleague Erik Lindahl. Great fun.  Read more at: https://nackademin.se/utbildningar/anvandarcentrerad-design-inom-ux/,"Stockholm, Stockholm County, Sweden",Aug 2020,Jan 2021
DigiExam AB,Product & UX designer,"As Product Designer I worked closely with the tech team using SCRUM and User Story Mapping as our agile methods. I was the voice of our Users, collecting their wants and needs by interviews, chat conversations, workshops, questionaries and analytics. I created and tested prototypes and made all graphic assets for the application. ","Stockholm, Sweden",Aug 2018,Sep 2019
inUse,"Art Director, UX Designer"," I worked in the fluid area between UX and UI, creating wireframes, prototypes and final graphics. As a consultant I worked with many different companies and size of projects. I helped Klarna competitor AfterPay app with positioning concepts and ux/ ui design for their app. Another interesting project was onboarding wizard for Swedbank. My role was to find the precise amount of information user needed to make a well grounded decision, to make it fun but also functional and educational. More clients: Blocket, Regeringskansliet, Försvaret, Scania, TLV ","Stockholm, Sweden",May 2015,Aug 2018
Ziggy Creative Colony,Visual Designer,We offer services to help our clients reach the expected effects of their product investments. We view user experience and usability as an important mean to achieve expected benefits for the procurer as well as users.  - And I help to make it look good.,,May 2010,Mar 2015
Locco.se,Freelance Graphic Designer,I´m looking for freedom (and some new projects).,,Mar 2009,May 2010
Total Grp,Grafisk Formgivare,"Liten reklambyrå på Söder. Kärnan i företaget är liten, men runt den finns ett kreativt och tänkande kollektiv bestående av designers, projektledare, copywriters och art directors. Bland kunderna finns Fiber Optic Valley, Hufvudstaden AB, Affärsområdet Biblioteksgatan och Fazer. Och det bästa är att Leo (min korthåriga Collie) också fått jobb här som kontorets maskot.",,Sep 2008,Jan 2009
SuperHype,Freelance Graphic Designer,Samarbete med designbyrån SuperHype. Design och produktion av marknadsföringsmaterial för Bridge Ltd och Ventelo.,,Apr 2008,Sep 2008
Daytona,Event Project Manager,Projektledare för ett seminarium om internets framtid. Evenemanget går av stapeln den 1:a november kl 13-17 och platsen är Debaser Medis. För mer info och anmälan se http://www.daytona.se/.,,Aug 2007,Jan 2008
Bonver,Graphic Designer,"Ansvarig för bild-, textmaterial, layout och utgivning av kundtidningen Videotoppen.",,Aug 2006,Apr 2007
Mogul Technology Center,Graphic Designer,"Skisser, detaljdesign och jobbade tätt med Art Directors. Kunder som Skandiabanken, Skandia fonder och Eriksson.",,Nov 1999,Sep 2001
