Challenge Date,IP Address,User Agent,Country,Challenge Type
Tue May 21 16:54:02 UTC 2024,188.149.239.232,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15",Norway,EMAIL_PIN_CHALLENGE
Tue May 21 16:54:02 UTC 2024,188.149.239.232,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15",Norway,EMAIL_PIN_CHALLENGE
Tue May 21 16:54:27 UTC 2024,188.149.239.232,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15",Norway,EMAIL_PIN_CHALLENGE
Fri Jun 14 15:45:41 UTC 2024,151.177.61.198,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",Sweden,EMAIL_PIN_CHALLENGE
Fri Jun 14 15:45:41 UTC 2024,151.177.61.198,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",Sweden,EMAIL_PIN_CHALLENGE
Fri Jun 14 15:46:01 UTC 2024,151.177.61.198,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36",Sweden,EMAIL_PIN_CHALLENGE
Sun Jul 21 07:46:10 UTC 2024,151.177.52.58,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/15E148 Safari/604.1",Sweden,EMAIL_PIN_CHALLENGE
Sun Jul 21 07:46:10 UTC 2024,151.177.52.58,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/15E148 Safari/604.1",Sweden,EMAIL_PIN_CHALLENGE
Sun Jul 21 07:46:46 UTC 2024,151.177.52.58,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/15E148 Safari/604.1",Sweden,EMAIL_PIN_CHALLENGE
Wed Aug 21 10:56:11 UTC 2024,188.149.229.237,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/15E148 Safari/604.1",Norway,EMAIL_PIN_CHALLENGE
Wed Aug 21 10:56:11 UTC 2024,188.149.229.237,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/15E148 Safari/604.1",Norway,EMAIL_PIN_CHALLENGE
Wed Aug 21 10:56:12 UTC 2024,188.149.229.237,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/15E148 Safari/604.1",Norway,EMAIL_PIN_CHALLENGE
Wed Aug 21 10:56:12 UTC 2024,188.149.229.237,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/15E148 Safari/604.1",Norway,EMAIL_PIN_CHALLENGE
Wed Aug 21 10:56:55 UTC 2024,188.149.229.237,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/15E148 Safari/604.1",Norway,EMAIL_PIN_CHALLENGE
Wed Aug 21 10:57:08 UTC 2024,188.149.229.237,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/15E148 Safari/604.1",Norway,EMAIL_PIN_CHALLENGE
Wed Aug 21 10:57:20 UTC 2024,188.149.229.237,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/15E148 Safari/604.1",Norway,EMAIL_PIN_CHALLENGE
Tue Jan 28 19:40:22 UTC 2025,103.104.20.176,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",Unknown,CAPTCHA_CHALLENGE
Tue Jan 28 19:40:22 UTC 2025,103.104.20.176,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",Unknown,CAPTCHA_CHALLENGE
Tue Feb 18 14:05:44 UTC 2025,188.149.51.139,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Norway,EMAIL_PIN_CHALLENGE
Tue Feb 18 14:06:08 UTC 2025,188.149.51.139,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",Norway,EMAIL_PIN_CHALLENGE
Thu Mar 13 09:00:19 UTC 2025,188.149.51.139,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",Norway,EMAIL_PIN_CHALLENGE
Thu Mar 13 09:00:38 UTC 2025,188.149.51.139,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36",Norway,EMAIL_PIN_CHALLENGE
